@RELATION im2.arff

@ATTRIBUTE Min numeric
@ATTRIBUTE Max numeric
@ATTRIBUTE Mean {<0.671_6.282),<6.282_11.893),<11.893_17.504),<17.504_23.115),<23.115_28.726),<28.726_34.336),<51.169_56.78>,?}
@ATTRIBUTE Var {<2.716_101.483),<101.483_200.25),<299.017_397.784),<397.784_496.55),<496.55_595.317),<694.084_792.851),<792.851_891.618),<891.618_990.385>,?}
@ATTRIBUTE S-Dev {<1.648_7.612),<7.612_13.577),<13.577_19.541),<19.541_25.506),<25.506_31.47>,?}
@ATTRIBUTE A-Dev {<0.808_6.162),<6.162_11.515),<11.515_16.869),<16.869_22.222),<22.222_27.576>,?}
@ATTRIBUTE Median {<0.165_11.761),<11.761_23.357),<23.357_34.954),<46.55_58.146>,?}
@ATTRIBUTE Mode {<0.001_21.78),<21.78_43.56),<87.12_108.9>,?}
@ATTRIBUTE Skew {<0.008_2.205),<2.205_4.402),<4.402_6.6),<8.797_10.994>,?}
@ATTRIBUTE class {M,N,?}

@DATA
0.011,108.9,<17.504_23.115),<496.55_595.317),<19.541_25.506),<16.869_22.222),<11.761_23.357),<0.001_21.78),<0.008_2.205),M
0.726,108.9,<23.115_28.726),<496.55_595.317),<19.541_25.506),<11.515_16.869),<11.761_23.357),<87.12_108.9>,<0.008_2.205),M
0.008,108.9,<28.726_34.336),<694.084_792.851),<25.506_31.47>,<22.222_27.576>,<23.357_34.954),<21.78_43.56),<0.008_2.205),M
0,108.9,<28.726_34.336),<792.851_891.618),<25.506_31.47>,<22.222_27.576>,<11.761_23.357),<0.001_21.78),<0.008_2.205),M
0.726,108.9,<23.115_28.726),<496.55_595.317),<19.541_25.506),<11.515_16.869),<11.761_23.357),<87.12_108.9>,<0.008_2.205),M
0.008,108.9,<28.726_34.336),<694.084_792.851),<25.506_31.47>,<22.222_27.576>,<23.357_34.954),<21.78_43.56),<0.008_2.205),M
13.496,108.9,<51.169_56.78>,<397.784_496.55),<19.541_25.506),<16.869_22.222),<46.55_58.146>,<87.12_108.9>,<0.008_2.205),M
0.126,108.9,<51.169_56.78>,<891.618_990.385>,<25.506_31.47>,<22.222_27.576>,<46.55_58.146>,<87.12_108.9>,<0.008_2.205),M
1.437,108.9,<28.726_34.336),<299.017_397.784),<13.577_19.541),<11.515_16.869),<23.357_34.954),<0.001_21.78),<0.008_2.205),M
5.86E-04,98.326,<23.115_28.726),<397.784_496.55),<19.541_25.506),<16.869_22.222),<11.761_23.357),<0.001_21.78),<0.008_2.205),M
0,108.9,<0.671_6.282),<101.483_200.25),<7.612_13.577),<0.808_6.162),<0.165_11.761),<0.001_21.78),<4.402_6.6),N
0,108.9,<0.671_6.282),<2.716_101.483),<7.612_13.577),<0.808_6.162),<0.165_11.761),<0.001_21.78),<4.402_6.6),N
0.043,108.9,<11.893_17.504),<299.017_397.784),<13.577_19.541),<11.515_16.869),<0.165_11.761),<0.001_21.78),<2.205_4.402),N
0,108.684,<0.671_6.282),<2.716_101.483),<1.648_7.612),<0.808_6.162),<0.165_11.761),<0.001_21.78),<2.205_4.402),N
0,106.279,<6.282_11.893),<101.483_200.25),<7.612_13.577),<6.162_11.515),<0.165_11.761),<0.001_21.78),<2.205_4.402),N
0,107.906,<0.671_6.282),<2.716_101.483),<7.612_13.577),<0.808_6.162),<0.165_11.761),<0.001_21.78),<4.402_6.6),N
0,45.905,<0.671_6.282),<2.716_101.483),<1.648_7.612),<0.808_6.162),<0.165_11.761),<0.001_21.78),<2.205_4.402),N
0,108.688,<0.671_6.282),<2.716_101.483),<1.648_7.612),<0.808_6.162),<0.165_11.761),<0.001_21.78),<8.797_10.994>,N
0,107.864,<0.671_6.282),<2.716_101.483),<1.648_7.612),<0.808_6.162),<0.165_11.761),<0.001_21.78),<4.402_6.6),N
0,33.701,<0.671_6.282),<2.716_101.483),<1.648_7.612),<0.808_6.162),<0.165_11.761),<0.001_21.78),<4.402_6.6),N
